glider_trajectory,acoustics_configuration,deployment_recovery,tow_number,season,date_utc,time_utc_start,time_utc_end,lat_degrees_start,lat_mins_start,lat_degrees_end,lat_mins_end,lon_degrees_start,lon_mins_start,lon_degrees_end,lon_mins_end,sample_notes,water_column_depth,net_depth,volume_filtered,taxa,taxa_group,count,concentration,temp_min,temp_max,sal_min,sal_max
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Centropages sp.,Copepod (small),8448,336.5983235,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Gastropod,Other,13184,525.2973836,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Oithona similis,Copepod (small),20480,815.9959358,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Acartia tonsa,Copepod (small),4480,178.4991109,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Paracalanus sp.,Copepod (small),8832,351.8982473,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Evadne nordmanni,Cladoceran,640,25.49987299,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Chaetognath,Chaetognath,512,20.39989839,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Pluteus larva,Other,256,10.1999492,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Pseudevadne tergestina,Cladoceran,256,10.1999492,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Hyperiid amphipod,Other,128,5.099974598,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Tortanus sp.,Copepod (small),128,5.099974598,3.81,5.17,31.6,33.4
ru39-20250226T1700,fish,deployment,1,Winter,2/26/2025,17:05,17:09,40,14.632,40,14.625,-73,52.233,-73,52.084,,21.8,,25.09816422,Hyperiid amphipod,Other,6,0.239061309,3.81,5.17,31.6,33.4
